B.E.,C 1s/28:CPS,C 1s/28:C=C,C 1s/28:C-O,C 1s/28:O-C=O,Background,Envelope
3.01E+02,3.19E+03,3.19E+03,3.19E+03,3.19E+03,3.19E+03,3.19E+03
3.01E+02,3.16E+03,3.16E+03,3.16E+03,3.16E+03,3.16E+03,3.16E+03
3.01E+02,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03
3.01E+02,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03
3.01E+02,3.11E+03,3.11E+03,3.11E+03,3.11E+03,3.11E+03,3.11E+03
3.01E+02,3.13E+03,3.13E+03,3.13E+03,3.13E+03,3.13E+03,3.13E+03
3.01E+02,3.01E+03,3.01E+03,3.01E+03,3.01E+03,3.01E+03,3.01E+03
3.01E+02,3.02E+03,3.02E+03,3.02E+03,3.02E+03,3.02E+03,3.02E+03
3.01E+02,3.06E+03,3.06E+03,3.06E+03,3.06E+03,3.06E+03,3.06E+03
3.01E+02,2.98E+03,2.98E+03,2.98E+03,2.98E+03,2.98E+03,2.98E+03
3.00E+02,3.04E+03,3.04E+03,3.04E+03,3.04E+03,3.04E+03,3.04E+03
3.00E+02,2.97E+03,2.97E+03,2.97E+03,2.97E+03,2.97E+03,2.97E+03
3.00E+02,2.98E+03,2.98E+03,2.98E+03,2.98E+03,2.98E+03,2.98E+03
3.00E+02,2.99E+03,2.99E+03,2.99E+03,2.99E+03,2.99E+03,2.99E+03
3.00E+02,2.88E+03,2.88E+03,2.88E+03,2.88E+03,2.88E+03,2.88E+03
3.00E+02,2.89E+03,2.89E+03,2.89E+03,2.89E+03,2.89E+03,2.89E+03
3.00E+02,2.97E+03,2.97E+03,2.97E+03,2.97E+03,2.97E+03,2.97E+03
3.00E+02,2.88E+03,2.88E+03,2.88E+03,2.88E+03,2.88E+03,2.88E+03
3.00E+02,2.85E+03,2.85E+03,2.85E+03,2.85E+03,2.85E+03,2.85E+03
3.00E+02,2.91E+03,2.91E+03,2.91E+03,2.91E+03,2.91E+03,2.91E+03
2.99E+02,2.85E+03,2.85E+03,2.85E+03,2.85E+03,2.85E+03,2.85E+03
